url,title,brand,weight,price,currency,availability,description,ingredients,warnings,breadcrumbs,images,uniq_id,scraped_at
https://www.walgreens.com/store/c/attends-extra-absorbency-protective-underwear-xlarge/ID=prod6076968-product,Attends Extra Absorbency Protective Underwear XLarge,Attends,100.0Each,$79.99,USD,InStock,Breathable Cloth-like material Tear-away sides,None,None,Home/Shop/Personal Care/Incontinence/Protective Underwear & Briefs,pics.drugstore.com/prodimg/428030/900.jpg~pics.drugstore.com/prodimg/428030/2_900.jpg,55817a5e-6c84-5a17-9287-f047acf6db5a,07/01/2022 23:56:57
https://www.walgreens.com/store/c/hello-bello-baby-premium-shampoo-%2526-body-wash-sleep-sweet-lavender/ID=300416415-product,Hello Bello Baby Premium Shampoo & Body Wash Sleep Sweet Lavender,Hello Bello,10.0oz,,USD,InStock,,"<li class="""" data-reactid=""13"" id=""Ingredients""><a aria-expanded=""false"" class=""toggle title__master"" data-reactid=""14"" href=""javascript:void(0)""><h2 class=""font__sixteen"" data-reactid=""15"">Ingredients</h2></a><div class=""inner"" data-reactid=""16""><div class="""" data-reactid=""17""><div data-reactid=""18""><div data-reactid=""19""><!-- react-text: 20 --><!-- /react-text --><div data-reactid=""21""><div data-reactid=""22""><span data-reactid=""23"">Water (Aqua), Sodium Laurylglucosides Hydroxypropylsulfonate, Cocamidopropyl Hydroxysultaine, Coco-Glucoside, Sodium Methyl Cocoyl Taurate, Glycerin, Glyceryl Caprylate, Caprylhydroxamic Acid, Sodium Lauroyl Oat Amino Acids, Aloe Barbadensis Leaf Juice*, Helianthus Annuus (Sunflower) Seed Oil*, Simmondsia Chinensis (Jojoba) Seed Oil*, Chamomilla Recutita (Matricaria) Flower Extract*, Valeriana Officinalis (Valerian) Root Extract*, Sambucus Nigra (Elderflower) Flower Extract*, Melissa Officinalis (Lemon Balm) Extract*, Calendula Officinalis Flower Extract*, Citric Acid, Plant-Derived Fragrance, *Certified Organic</span></div></div></div></div></div></div></li>","<li class="""" data-reactid=""24"" id=""Warnings""><a aria-expanded=""false"" class=""toggle title__master"" data-reactid=""25"" href=""javascript:void(0)""><h2 class=""font__sixteen"" data-reactid=""26"">Warnings</h2></a><div class=""inner"" data-reactid=""27""><div class=""view-more-content__height wag-accordion-tab-content maxHeight"" data-reactid=""28""><div data-reactid=""29"">External use only. Avoid eye contact. Stop use if negative effects develop.</div><div data-reactid=""30""></div><!-- react-text: 31 --><!-- /react-text --></div></div></li>","Home/Shop/Baby & Kids/Bath, Skin & Hair/Children's Hair Care",pics.drugstore.com/prodimg/637453/900.jpg~pics.drugstore.com/prodimg/637453/2_900.jpg~pics.drugstore.com/prodimg/637453/3_900.jpg,e71d7f98-9d1f-5591-be09-44d58fc569d7,07/01/2022 23:56:58
"https://www.walgreens.com/store/c/crane-usa-fashionable-drop,-ultrasonic-humidifier/ID=prod5780513-product","Crane USA Fashionable Drop, Ultrasonic Humidifier Green",Crane USA,1.0ea,$49.99,USD,InStock,Variable humidity control feature  Whisper quiet operation   Auto-off function when tank is empty,None,None,Home/Shop/Medicines & Treatments/Children's Health Care/Humidifiers,https://pics.drugstore.com/prodimg/223795/900.jpg,b8d7ff1c-a9ca-5850-8145-980a64093124,07/01/2022 23:57:00
https://www.walgreens.com/store/c/covergirl-outlast-all-day-lip-color-with-top-coat/ID=300409833-product,CoverGirl Outlast All-Day Lip Color with Top Coat Good Mauve 140,CoverGirl,1.0ea,$10.99,USD,InStock,,"<li class="""" data-reactid=""13"" id=""Ingredients""><a aria-expanded=""false"" class=""toggle title__master"" data-reactid=""14"" href=""javascript:void(0)""><h2 class=""font__sixteen"" data-reactid=""15"">Ingredients</h2></a><div class=""inner"" data-reactid=""16""><div class="""" data-reactid=""17""><div data-reactid=""18""><div data-reactid=""19""><!-- react-text: 20 --><!-- /react-text --><div data-reactid=""21""><div data-reactid=""22""><span data-reactid=""23"">ISODODECANE, TRIMETHYLSILOXYSILICATE, DIMETHICONE, DISTEARDIMONIUM HECTORITE, PROPYLENE CARBONATE, TALC, PROPYLPARABEN, MAY CONTAIN/PEUT CONTENIR, MICA, TITANIUM DIOXIDE(CI 77891), IRON OXIDES (CI 77491, CI77492, CI77499), FD&amp;C BLUE NO.1 ALUMINUM LAKE (CI 42090), D&amp;C RED NO.7; (CI 15850), D&amp;C RED NO.30 LAKE (CI 73360), FD&amp;C YELLOW (CI 19140).</span></div></div></div><div data-reactid=""24""><!-- react-text: 25 --><!-- /react-text --><div data-reactid=""26""><div data-reactid=""27""><span data-reactid=""28"">HELIANTHUS ANNUUS (SUNFLOWER) SEED OIL, POLYBUTENE, CERA ALBA/BEESWAX/CIRE D'ABEILLE, CERA MICROCRISTALLINA/MICROCRYSTALLINE WAX/CIRE MICROCRYSTALLINE, SYNTHETIC WAX, TOCOPHERYL ACETATE, AROMA/FLAVOR, BUTYROSPERMUM PARKII (SHEA) BUTTER, PROPYLPARABEN, THEOBROMA CACAO (COCOA) SEED BUTTER, ALOE BARBADENSIS LEAF EXTRACT, COCOS NUCIFERA (COCONUT) OIL, SODIUM SACCHARIN, TOCOPHEROL, OLUS OIL/VEGETABLE OIL/HUILE VEGETALE</span></div></div></div></div></div></div></li>",None,Home/Shop/Beauty/Makeup/Lips,pics.drugstore.com/prodimg/639000/900.jpg~pics.drugstore.com/prodimg/639000/2_900.jpg~pics.drugstore.com/prodimg/639000/3_900.jpg~pics.drugstore.com/prodimg/639000/4_900.jpg~pics.drugstore.com/prodimg/639000/5_900.jpg,33749a25-3ebb-5fcb-ae42-c8b579d16848,07/01/2022 23:57:02
https://www.walgreens.com/store/c/artskills-paint-by-number/ID=300406770-product,ArtSkills Paint By Number,ArtSkills,1.0ea,$6.49,USD,InStock,,None,None,"Home/Shop/Toys, Games & Books/Arts & Crafts/Painting Supplies",pics.drugstore.com/prodimg/627848/900.jpg~pics.drugstore.com/prodimg/627848/2_900.jpg,49efc32e-d0c7-5ed3-9464-631b4b3bf4c4,07/01/2022 23:57:02
"https://www.walgreens.com/store/c/philips-norelco-shaving-head-replacement,-reflex-plus-microaction/ID=prod6071665-product","Philips Norelco Shaving Head Replacement, Reflex Plus MicroAction",Philips Norelco,1.0ea,$33.99,USD,OutofStock,Keep a close shave Super lift &#38; cut heads Change every 12 months for best results,None,None,Home/Shop/Personal Care/Shaving & Grooming/Electric Shave for Men,pics.drugstore.com/prodimg/352236/900.jpg~pics.drugstore.com/prodimg/352236/2_900.jpg~pics.drugstore.com/prodimg/352236/3_900.jpg,95f19a38-27dc-56f1-bccc-be84e60c8a46,07/01/2022 23:57:03
https://www.walgreens.com/store/c/ja-ru-flarp!-noise-putty/ID=300410161-product,Ja-Ru Flarp! Noise Putty,Ja-Ru,1.0ea,$5.99,USD,InStock,,None,"<li class="""" data-reactid=""13"" id=""Warnings""><a aria-expanded=""false"" class=""toggle title__master"" data-reactid=""14"" href=""javascript:void(0)""><h2 class=""font__sixteen"" data-reactid=""15"">Warnings</h2></a><div class=""inner"" data-reactid=""16""><div class=""view-more-content__height wag-accordion-tab-content maxHeight"" data-reactid=""17""><div data-reactid=""18""><p>Keep away from heat.</p></div><div data-reactid=""19""></div><!-- react-text: 20 --><!-- /react-text --></div></div></li>","Home/Shop/Toys, Games & Books/Sports & Outdoor Toys/Foam, Putty & Slime",https://pics.drugstore.com/prodimg/631331/900.jpg,bf0c4bea-e93b-5ff6-be92-4602cd682299,07/01/2022 23:57:05
https://www.walgreens.com/store/c/marc-anthony-true-professional-bye-bye-frizz-keratin-smoothing-conditioner/ID=prod6156167-product,Marc Anthony True Professional Bye Bye Frizz Keratin Smoothing Conditioner,Marc Anthony True Professional,8.4fl oz,$9.49,USD,OutofStock,"Detangles, seals outer strands Protects against damage & humidity Long lasting moisture & shine","<li class="""" data-reactid=""15"" id=""Ingredients""><a aria-expanded=""false"" class=""toggle title__master"" data-reactid=""16"" href=""javascript:void(0)""><h2 class=""font__sixteen"" data-reactid=""17"">Ingredients</h2></a><div class=""inner"" data-reactid=""18""><div class="""" data-reactid=""19""><div data-reactid=""20""><div data-reactid=""21""><!-- react-text: 22 --><!-- /react-text --><div data-reactid=""23""><div data-reactid=""24""><span data-reactid=""25"">Aqua/Water/Eau, Cetearyl Alcohol, Behentrimonium Chloride, Cetyl Esters, PPG-3 Benzyl Ether Myristate, Caprylic/Capric Triglyceride, Propanediol, Stearyl Alcohol, Parfum (Fragrance), Isopropyl Alcohol, Vitis Vinifera (Grape) Seed Oil, Guar Hydroxypropyltrimonium Chloride, Sodium Citrate, Ethylhexylglycerin, Citric Acid, Tetrasodium EDTA, Crambe Abyssinica Seed Oil, Hydrolyzed Silk, Keratin, Hydrolyzed Keratin, Sodium Glycolate, Sodium Hydroxide, Phenoxyethanol, Trisodium NTA, Limonene, Butylphenyl Methylpropional</span></div></div></div></div></div></div></li>","<li class="""" data-reactid=""26"" id=""Warnings""><a aria-expanded=""false"" class=""toggle title__master"" data-reactid=""27"" href=""javascript:void(0)""><h2 class=""font__sixteen"" data-reactid=""28"">Warnings</h2></a><div class=""inner"" data-reactid=""29""><div class=""view-more-content__height wag-accordion-tab-content maxHeight"" data-reactid=""30""><div data-reactid=""31"">Rinse off eyes immediately if the product comes in contact with them. Discontinue use if rash or irritation develop. For external use only.</div><div data-reactid=""32""></div><!-- react-text: 33 --><!-- /react-text --></div></div></li>",Home/Shop/Beauty/Hair Care/Shampoo & Conditioner,pics.drugstore.com/prodimg/396764/900.jpg~pics.drugstore.com/prodimg/396764/2_900.jpg~pics.drugstore.com/prodimg/396764/3_900.jpg,cc98d0c5-0830-573e-a25c-f758b3becd12,07/01/2022 23:57:06
https://www.walgreens.com/store/c/nature-made-folic-acid-400-mcg-(665-mcg-dfe)-tablets/ID=prod3547-product,Nature Made Folic Acid 400 mcg (665 mcg DFE) Tablets,Nature Made,250.0ea,$8.29,USD,InStock,400mcg folic acid per serving  B vitamin for women of childbearing age  Helps prevent neural tube defects,"<li class="""" data-reactid=""15"" id=""Ingredients""><a aria-expanded=""false"" class=""toggle title__master"" data-reactid=""16"" href=""javascript:void(0)""><h2 class=""font__sixteen"" data-reactid=""17"">Ingredients</h2></a><div class=""inner"" data-reactid=""18""><div class="""" data-reactid=""19""><div data-reactid=""20""><div data-reactid=""21""><!-- react-text: 22 --><!-- /react-text --><div data-reactid=""23""><div data-reactid=""24""><span data-reactid=""25"">Cellulose Gel, Croscarmellose Sodium, Maltodextrin, Magnesium Stearate</span></div></div></div></div></div></div></li>","<li class="""" data-reactid=""59"" id=""Warnings""><a aria-expanded=""false"" class=""toggle title__master"" data-reactid=""60"" href=""javascript:void(0)""><h2 class=""font__sixteen"" data-reactid=""61"">Warnings</h2></a><div class=""inner"" data-reactid=""62""><div class=""view-more-content__height wag-accordion-tab-content maxHeight"" data-reactid=""63""><div data-reactid=""64""><p><span>Do not use if imprinted seal under cap is broken or missing.  Combining certain prescription drugs and dietary supplements can lead to undesirable effects such as:  Diminished drug effectiveness; Reduced supplement effectiveness:  Impaired drug and/or supplement absorption.  Given that no two cases are alike, all patients should be aware of the potential drug-nutrient interactions that may exist and are encouraged to follow up with their primary health care professional.</span></p></div><div data-reactid=""65""></div><!-- react-text: 66 --><!-- /react-text --></div></div></li>",Home/Shop/Vitamins & Supplements/Shop by Health Benefit/Prenatal & Postnatal Supplements,pics.drugstore.com/prodimg/17715/900.jpg~pics.drugstore.com/prodimg/17715/2_900.jpg~pics.drugstore.com/prodimg/17715/3_900.jpg~pics.drugstore.com/prodimg/17715/4_900.jpg~pics.drugstore.com/prodimg/17715/5_900.jpg,50d4df8b-212c-5202-885c-3c32a5366e35,07/01/2022 23:57:06
https://www.walgreens.com/store/c/downy-in-wash-scent-booster-fresh/ID=300395893-product,Downy In-Wash Scent Booster Fresh,Downy,4.3oz,$3.99,USD,InStock,,"<li class="""" data-reactid=""13"" id=""Ingredients""><a aria-expanded=""false"" class=""toggle title__master"" data-reactid=""14"" href=""javascript:void(0)""><h2 class=""font__sixteen"" data-reactid=""15"">Ingredients</h2></a><div class=""inner"" data-reactid=""16""><div class="""" data-reactid=""17""><div data-reactid=""18""><div data-reactid=""19""><!-- react-text: 20 --><!-- /react-text --><div data-reactid=""21""><div data-reactid=""22""><span data-reactid=""23"">PEG-N (Perfume Carrier), Fragrances, Colorants</span></div></div></div></div></div></div></li>","<li class="""" data-reactid=""24"" id=""Warnings""><a aria-expanded=""false"" class=""toggle title__master"" data-reactid=""25"" href=""javascript:void(0)""><h2 class=""font__sixteen"" data-reactid=""26"">Warnings</h2></a><div class=""inner"" data-reactid=""27""><div class=""view-more-content__height wag-accordion-tab-content maxHeight"" data-reactid=""28""><div data-reactid=""29"">DO NOT PUT IN YOUR LIQUID DISPENSER OR DRYER. Safe for all colors, fabrics and loads. Great for active wear and towels. KEEP OUT OF REACH OF CHILDREN. DO NOT INGEST. If swallowed, give a glass of water. In case of eye contact, flush with water. Only use in washing machines.</div><div data-reactid=""30""></div><!-- react-text: 31 --><!-- /react-text --></div></div></li>",Home/Shop/Household Essentials/Laundry Care/Scent Boosters,pics.drugstore.com/prodimg/616996/900.jpg~pics.drugstore.com/prodimg/616996/2_900.jpg~pics.drugstore.com/prodimg/616996/3_900.jpg~pics.drugstore.com/prodimg/616996/4_900.jpg~pics.drugstore.com/prodimg/616996/5_900.jpg,6682da47-08bd-5a6a-b615-b2123d824772,07/01/2022 23:57:08
https://www.walgreens.com/store/c/medline-overbed-table/ID=prod1525937-product,Medline Overbed Table,Medline,1.0ea,$72.49,USD,InStock,Holds books and papers in place Automatic spring lift mechanism Holds up to 50 lbs,None,None,Home/Shop/Home Health Care Solutions/Bedding & Accessories/Overbed Tables,pics.drugstore.com/prodimg/432738/900.jpg~pics.drugstore.com/prodimg/432738/2_900.jpg~pics.drugstore.com/prodimg/432738/3_900.jpg~pics.drugstore.com/prodimg/432738/4_900.jpg,fe765938-c8bc-5da5-985a-bb66bb49b490,07/01/2022 23:57:08
https://www.walgreens.com/store/c/colgate-optic-white-advanced-teeth-whitening-toothpaste-sparkling-white/ID=300403535-product,Colgate Optic White Advanced Teeth Whitening Toothpaste Sparkling White,Colgate Optic White,4.5oz,$6.79,USD,InStock,,"<li class="""" data-reactid=""13"" id=""Ingredients""><a aria-expanded=""false"" class=""toggle title__master"" data-reactid=""14"" href=""javascript:void(0)""><h2 class=""font__sixteen"" data-reactid=""15"">Ingredients</h2></a><div class=""inner"" data-reactid=""16""><div class="""" data-reactid=""17""><div data-reactid=""18""><div data-reactid=""19""><!-- react-text: 20 --><!-- /react-text --><div data-reactid=""21""><div data-reactid=""22""><span data-reactid=""23"">Active Ingredients: </span><span data-reactid=""24"">Sodium Monofluorophosphate - 0.76 % (Anticavity)</span></div></div><div data-reactid=""25""><div data-reactid=""26""><span data-reactid=""27"">Inactive Ingredients: </span><span data-reactid=""28"">Propylene Glycol, Calcium Pyrophosphate, PVP, PEG/PPG-116/66 Copolymer, PEG-12, Glycerin, Flavor, Hydrogen Peroxide, Sodium Lauryl Sulfate, Silica, Tetrasodium Pyrophosphate, Sodium Saccharin, Disodium Pyrophosphate, Sucralose, Phosphoric Acid, BHT, Water</span></div></div></div></div></div></div></li>","<li class="""" data-reactid=""29"" id=""Warnings""><a aria-expanded=""false"" class=""toggle title__master"" data-reactid=""30"" href=""javascript:void(0)""><h2 class=""font__sixteen"" data-reactid=""31"">Warnings</h2></a><div class=""inner"" data-reactid=""32""><div class=""view-more-content__height wag-accordion-tab-content maxHeight"" data-reactid=""33""><div data-reactid=""34"">Keep out of reach of children under 6 years of age. If more that used for brushing is accidentally swallowed, get medical help or contact a Poison Control Center right away.</div><div data-reactid=""35""></div><!-- react-text: 36 --><!-- /react-text --></div></div></li>",Home/Shop/Personal Care/Oral Care/Toothpaste,pics.drugstore.com/prodimg/624932/900.jpg~pics.drugstore.com/prodimg/624932/2_900.jpg~pics.drugstore.com/prodimg/624932/3_900.jpg~pics.drugstore.com/prodimg/624932/4_900.jpg,8a63afa4-e122-57fb-842a-d7809fa0334c,07/01/2022 23:57:10
https://www.walgreens.com/store/c/honey-bunches-of-oats-honey-roasted-cereal/ID=prod6042218-product,Honey Bunches of Oats Honey Roasted Cereal,Honey Bunches of Oats,14.5oz,,USD,InStock,"Crispy flakes, crunchy oats &#38; honey Heart healthy, 0 trans fat &#38; cholesterol 10g whole grains per serving","<li class="""" data-reactid=""15"" id=""Ingredients""><a aria-expanded=""false"" class=""toggle title__master"" data-reactid=""16"" href=""javascript:void(0)""><h2 class=""font__sixteen"" data-reactid=""17"">Ingredients</h2></a><div class=""inner"" data-reactid=""18""><div class="""" data-reactid=""19""><div data-reactid=""20""><div data-reactid=""21""><!-- react-text: 22 --><!-- /react-text --><div data-reactid=""23""><div data-reactid=""24""><span data-reactid=""25"">Corn, Whole Grain Wheat, Sugar, Whole Grain Rolled Oats, Rice, Canola Oil, Wheat Flour, Malted Barley Flour, Corn Syrup, Salt, Molasses, Honey, Caramel Color, Barley Malt Extract, Natural and Artificial Flavor, Annatto Extract (Color), BHT Added to Preserve Freshness, Vitamins and Minerals:</span></div></div></div></div></div></div></li>","<li class="""" data-reactid=""256"" id=""Warnings""><a aria-expanded=""false"" class=""toggle title__master"" data-reactid=""257"" href=""javascript:void(0)""><h2 class=""font__sixteen"" data-reactid=""258"">Warnings</h2></a><div class=""inner"" data-reactid=""259""><div class=""view-more-content__height wag-accordion-tab-content maxHeight"" data-reactid=""260""><div data-reactid=""261""><strong>CONTAINS: WHEAT, MILK</strong>. <p>Cereal may settle during shipment. This package is sold by weight, not by volume.</p></div><div data-reactid=""262""></div><!-- react-text: 263 --><!-- /react-text --></div></div></li>",Home/Shop/Grocery/Pantry/Breakfast Foods,pics.drugstore.com/prodimg/413404/900.jpg~pics.drugstore.com/prodimg/413404/2_900.jpg~pics.drugstore.com/prodimg/413404/3_900.jpg~pics.drugstore.com/prodimg/413404/4_900.jpg~pics.drugstore.com/prodimg/413404/5_900.jpg~pics.drugstore.com/prodimg/413404/6_900.jpg,c20023af-6603-50d4-8b60-e013b4e8d6a3,07/01/2022 23:57:10
https://www.walgreens.com/store/c/walgreens-hand-sanitizer-clear/ID=300408413-product,Walgreens Hand Sanitizer Clear,Walgreens,28.0fl oz,$4.79,USD,InStock,,"<li class="""" data-reactid=""13"" id=""Ingredients""><a aria-expanded=""false"" class=""toggle title__master"" data-reactid=""14"" href=""javascript:void(0)""><h2 class=""font__sixteen"" data-reactid=""15"">Ingredients</h2></a><div class=""inner"" data-reactid=""16""><div class="""" data-reactid=""17""><div data-reactid=""18""><div data-reactid=""19""><!-- react-text: 20 --><!-- /react-text --><div data-reactid=""21""><div data-reactid=""22""><span data-reactid=""23"">Active Ingredients: </span><span data-reactid=""24"">Ethyl Alcohol v/v - 62 % (Antiseptic)</span></div></div><div data-reactid=""25""><div data-reactid=""26""><span data-reactid=""27"">Inactive Ingredients: </span><span data-reactid=""28"">water, glycerin, propylene glycol, acrylates/c10-30 alkyl acrylate crosspolymer, isopropyl alcohol, aminomethyl propanol, isopropyl myristate, caprylyl glycol, phenoxyethanol, fragrance, tocopheryl acetate</span></div></div></div></div></div></div></li>","<li class="""" data-reactid=""29"" id=""Warnings""><a aria-expanded=""false"" class=""toggle title__master"" data-reactid=""30"" href=""javascript:void(0)""><h2 class=""font__sixteen"" data-reactid=""31"">Warnings</h2></a><div class=""inner"" data-reactid=""32""><div class=""view-more-content__height wag-accordion-tab-content maxHeight"" data-reactid=""33""><div data-reactid=""34""><p>For external use only Flammable. Keep away from flame. When using this product do not get into eyes. If contact occurs, rinse eyes thoroughly with water. Stop use and ask doctor if irritation or rash appears and lasts. Keep out of reach of children. If swallowed, get medical help or contact a Poison Control Center right away.</p></div><div data-reactid=""35""></div><!-- react-text: 36 --><!-- /react-text --></div></div></li>",Home/Shop/Beauty/Bath & Body/Hand Sanitizer,pics.drugstore.com/prodimg/629419/900.jpg~pics.drugstore.com/prodimg/629419/2_900.jpg~pics.drugstore.com/prodimg/629419/3_900.jpg,6a972a58-992f-5252-a5af-3276f9460828,07/01/2022 23:57:11
https://www.walgreens.com/store/c/nature's-bounty-q-sorb-coq10-100-mg-dietary-supplement-softgels-twinpack/ID=prod6031098-product,Nature's Bounty Q-Sorb CoQ10 100 mg Dietary Supplement Softgels Twinpack,Nature's Bounty,60.0ea,$57.99,USD,InStock,Co Q-10 &amp; L-Carnitine formula  Promotes heart health  Helps provide antioxidant protection,"<li class="""" data-reactid=""15"" id=""Ingredients""><a aria-expanded=""false"" class=""toggle title__master"" data-reactid=""16"" href=""javascript:void(0)""><h2 class=""font__sixteen"" data-reactid=""17"">Ingredients</h2></a><div class=""inner"" data-reactid=""18""><div class="""" data-reactid=""19""><div data-reactid=""20""><div data-reactid=""21""><div data-reactid=""22"">Single</div><div data-reactid=""23""><div data-reactid=""24""><span data-reactid=""25"">Other Ingredients: Rice Bran Oil, Gelatin, Vegetable Glycerin, Soy Lecithin, Natural Caramel Color</span></div></div></div></div></div></div></li>","<li class="""" data-reactid=""59"" id=""Warnings""><a aria-expanded=""false"" class=""toggle title__master"" data-reactid=""60"" href=""javascript:void(0)""><h2 class=""font__sixteen"" data-reactid=""61"">Warnings</h2></a><div class=""inner"" data-reactid=""62""><div class=""view-more-content__height wag-accordion-tab-content maxHeight"" data-reactid=""63""><div data-reactid=""64""><p><span>If you are pregnant, nursing or taking any medications, consult your doctor before use.  Discontinue use and consult your doctor if any adverse reactions occur.  Keep out of reach of children.  Do not use if seal under cap is broken or missing.</span></p></div><div data-reactid=""65""></div><!-- react-text: 66 --><!-- /react-text --></div></div></li>",Home/Shop/Vitamins & Supplements/Supplements/CoQ10,https://pics.drugstore.com/prodimg/412933/900.jpg,00d77cbf-03d2-5d4c-9db6-4a344a815110,07/01/2022 23:57:12
https://www.walgreens.com/store/c/cheez-it-baked-snack-cheese-crackers-in-a-cup-original/ID=prod6207112-product,Cheez-It Baked Snack Cheese Crackers in a Cup Original,Cheez-It,2.2OZ,$1.99,USD,InStock,Made with 100% real cheese Easy snacking in the car or on the run No cholesterol and 0 g trans fat,"<li class="""" data-reactid=""15"" id=""Ingredients""><a aria-expanded=""false"" class=""toggle title__master"" data-reactid=""16"" href=""javascript:void(0)""><h2 class=""font__sixteen"" data-reactid=""17"">Ingredients</h2></a><div class=""inner"" data-reactid=""18""><div class="""" data-reactid=""19""><div data-reactid=""20""><div data-reactid=""21""><!-- react-text: 22 --><!-- /react-text --><div data-reactid=""23""><div data-reactid=""24""><span data-reactid=""25"">Enriched flour, vegetable oil, cheese made with skim milk, Contains 2% or less of salt, paprika, yeast, paprika extract color, soy lecithin</span></div></div></div></div></div></div></li>","<li class="""" data-reactid=""170"" id=""Warnings""><a aria-expanded=""false"" class=""toggle title__master"" data-reactid=""171"" href=""javascript:void(0)""><h2 class=""font__sixteen"" data-reactid=""172"">Warnings</h2></a><div class=""inner"" data-reactid=""173""><div class=""view-more-content__height wag-accordion-tab-content maxHeight"" data-reactid=""174""><div data-reactid=""175"">NA</div><div data-reactid=""176""></div><!-- react-text: 177 --><!-- /react-text --></div></div></li>",Home/Shop/Grocery/Snacks/Crackers & Rice Cakes,pics.drugstore.com/prodimg/497937/900.jpg~pics.drugstore.com/prodimg/497937/2_900.jpg~pics.drugstore.com/prodimg/497937/3_900.jpg~pics.drugstore.com/prodimg/497937/4_900.jpg~pics.drugstore.com/prodimg/497937/5_900.jpg~pics.drugstore.com/prodimg/497937/6_900.jpg~pics.drugstore.com/prodimg/497937/7_900.jpg,552e47e6-e185-5c6b-814f-be8ea884cd81,07/01/2022 23:57:13
https://www.walgreens.com/store/c/garnier-fructis-sleek-%2526-shine-moroccan-sleek-oil-treatment-for-frizzy-hair/ID=prod6186459-product,Garnier Fructis Sleek & Shine Moroccan Sleek Oil Treatment for Frizzy Hair,Garnier Fructis Sleek & Shine,3.75fl oz,$5.29,USD,InStock,,"<li class="""" data-reactid=""13"" id=""Ingredients""><a aria-expanded=""false"" class=""toggle title__master"" data-reactid=""14"" href=""javascript:void(0)""><h2 class=""font__sixteen"" data-reactid=""15"">Ingredients</h2></a><div class=""inner"" data-reactid=""16""><div class="""" data-reactid=""17""><div data-reactid=""18""><div data-reactid=""19""><!-- react-text: 20 --><!-- /react-text --><div data-reactid=""21""><div data-reactid=""22""><span data-reactid=""23"">CYCLOPENTASILOXANE, DIMETHICONOL, PARFUM/FRAGRANCE, ARGANIA SPINOSA KERNEL OIL, LINALOOL, HEXYL CINNAMAL, TOCOPHEROL, CITRONELLOL, LIMONENE, BENZYL ALCOHOL, GERANIOL, HELIANTHUS ANNUUS SEED OIL/SUNFLOWER SEED OIL, CI 75130/ BETA-CAROTENE</span></div></div></div></div></div></div></li>","<li class="""" data-reactid=""24"" id=""Warnings""><a aria-expanded=""false"" class=""toggle title__master"" data-reactid=""25"" href=""javascript:void(0)""><h2 class=""font__sixteen"" data-reactid=""26"">Warnings</h2></a><div class=""inner"" data-reactid=""27""><div class=""view-more-content__height wag-accordion-tab-content maxHeight"" data-reactid=""28""><div data-reactid=""29""><p><span></span></p></div><div data-reactid=""30""></div><!-- react-text: 31 --><!-- /react-text --></div></div></li>",Home/Shop/Beauty/Hair Care/Hair & Scalp Treatments,pics.drugstore.com/prodimg/409745/900.jpg~pics.drugstore.com/prodimg/409745/2_900.jpg~pics.drugstore.com/prodimg/409745/3_900.jpg~pics.drugstore.com/prodimg/409745/4_900.jpg~pics.drugstore.com/prodimg/409745/5_900.jpg~pics.drugstore.com/prodimg/409745/6_900.jpg~pics.drugstore.com/prodimg/409745/7_900.jpg,654c814a-52db-5dbd-83ba-776a31770712,07/01/2022 23:57:14
